12, insertElementAt(java.lang.Object, int), 2.0, 2, 
27, replace(java.lang.Object, java.lang.Object), 2.0, 23, 
32, add(int, java.lang.Object, java.lang.Comparable), 2.0, 30, 
41, findElement(int, java.lang.Comparable, int, int, int, freemind.controller.filter.util.SortedMapVector.MapElement, int, int), 3.0, 30, 
46, MapElement(java.lang.Comparable, java.lang.Object), 2.0, 45, 
65, replace(java.lang.Object, java.lang.Object, boolean, boolean), 2.0, 53, 
78, setColumnWidth(int, int), 2.0, 75, 
79, getValueAt(int, int), 2.0, 75, 
80, setValueAt(java.lang.Object, int, int), 3.0, 75, 
84, NodeAttributeTableModel(freemind.modes.MindMapNode, int), 2.0, 83, 
88, getValueAt(int, int), 2.0, 83, 
92, setValueAt(int, java.lang.Object, int), 3.0, 83, 
95, insertRow(java.lang.String, java.lang.String, int), 3.0, 83, 
97, setName(int, java.lang.Object, freemind.modes.attributes.Attribute), 2.0, 83, 
98, setValue(int, java.lang.Object, freemind.modes.attributes.Attribute), 2.0, 83, 
101, saveAttribute(freemind.main.XMLElement, int, freemind.main.XMLElement, freemind.modes.attributes.Attribute), 2.0, 83, 
107, isCellEditable(int, int), 2.0, 83, 
111, setColumnWidth(int, int), 2.0, 83, 
115, AttributeRegistryElement(java.lang.String, freemind.modes.attributes.AttributeRegistry), 2.0, 114, 
131, replaceValue(java.lang.String, java.lang.String), 2.0, 114, 
139, replace(java.lang.Object, java.lang.Object), 2.0, 132, 
140, _replace(java.lang.Object, java.lang.Object), 2.0, 132, 
143, ColumnWidthChangeEvent(int, java.lang.Object), 2.0, 142, 
168, setVisibilityModel(int, java.lang.Boolean, freemind.modes.attributes.AttributeRegistryElement), 2.0, 145, 
170, setRestrictionModel(java.lang.Boolean, int), 2.0, 145, 
173, setRestricted(boolean, java.lang.String), 2.0, 145, 
174, setRestricted(boolean, int), 2.0, 145, 
183, exist(java.lang.Object, java.lang.String, int, freemind.controller.filter.util.SortedComboBoxModel, int), 2.0, 145, 
196, setColumnWidth(int, int), 2.0, 193, 
203, performSetValueAt(int, int, java.lang.Object, freemind.modes.attributes.NodeAttributeTableModel), 4.0, 202, 
204, performInsertRow(freemind.modes.attributes.NodeAttributeTableModel, int, java.lang.String, java.lang.String), 4.0, 202, 
205, performRemoveRow(int, freemind.modes.attributes.NodeAttributeTableModel), 2.0, 202, 
206, performSetColumnWidth(int, int, freemind.modes.attributes.NodeAttributeTableModel), 3.0, 202, 
207, performRemoveAttributeValue(java.lang.String, java.lang.String), 2.0, 202, 
208, performReplaceAttributeValue(java.lang.String, java.lang.String, java.lang.String), 3.0, 202, 
209, performSetFontSize(freemind.modes.attributes.AttributeRegistry, int), 2.0, 202, 
210, performSetVisibility(boolean, int), 2.0, 202, 
211, performSetRestriction(boolean, int), 2.0, 202, 
212, performReplaceAtributeName(java.lang.String, java.lang.String), 2.0, 202, 
215, performRegistryAttributeValue(java.lang.String, java.lang.String), 2.0, 202, 
219, Attribute(java.lang.String, java.lang.String), 2.0, 217, 
236, replace(java.lang.Object, java.lang.Object), 2.0, 226, 
243, getValueAt(int, int), 2.0, 239, 
244, setValueAt(int, int, java.lang.Object, java.lang.Boolean), 3.0, 239, 
246, isCellEditable(int, int), 2.0, 239, 
249, fireTableCellUpdated(int, int), 2.0, 239, 
250, fireTableRowsDeleted(int, int), 2.0, 239, 
251, fireTableRowsInserted(int, int), 2.0, 239, 
252, fireTableRowsUpdated(int, int), 2.0, 239, 
264, MindIcon(javax.swing.ImageIcon, java.lang.String), 2.0, 262, 
276, factory(java.lang.String, javax.swing.ImageIcon, freemind.modes.MindIcon), 2.0, 262, 
286, MapAdapter(freemind.modes.ModeController, freemind.main.FreeMindMain), 2.0, 285, 
313, fireTreeNodesInserted(javax.swing.event.TreeModelEvent, Object[], int[], Object[], java.lang.Object, Object[], freemind.modes.MindMapNode), 4.0, 285, 
314, fireTreeNodesInserted(int, javax.swing.event.TreeModelEvent, Object[], Object[], int[], Object[], java.lang.Object), 6.0, 285, 
315, fireTreeNodesRemoved(javax.swing.event.TreeModelEvent, Object[], Object[], int[], java.lang.Object, Object[], freemind.modes.MindMapNode), 4.0, 285, 
316, fireTreeNodesRemoved(int, javax.swing.event.TreeModelEvent, Object[], java.lang.Object, int[], Object[], Object[]), 6.0, 285, 
317, fireTreeStructureChanged(javax.swing.event.TreeModelEvent, Object[], int[], Object[], java.lang.Object, Object[], freemind.modes.MindMapNode), 4.0, 285, 
318, fireTreeStructureChanged(int, javax.swing.event.TreeModelEvent, Object[], Object[], java.lang.Object, int[], Object[]), 6.0, 285, 
319, fireTreeNodesChanged(javax.swing.event.TreeModelEvent, Object[], Object[], int[], java.lang.Object, Object[], freemind.modes.MindMapNode), 4.0, 285, 
