@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 10\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,2,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.571979,100,114.39589,2,2.532495,-0.532495,1,1.266248,-0.266248,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.006,0,0.01,0,10,0,8925,9933,4989,100,100,?,2,?,?,?
dataset,3,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.549229,100,109.845872,2,2.333901,-0.333901,1,1.16695,-0.16695,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.005,0.001,0.01,0,10,0,8924,9933,4989,100,100,?,2,?,?,?
dataset,3,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,3,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.571979,100,114.39589,2,2.532495,-0.532495,1,1.266248,-0.266248,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.006,0,0.01,0,10,0,8925,9933,4989,100,100,?,2,?,?,?
dataset,3,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8506,9933,4989,100,100,?,1,?,?,?
dataset,3,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.002,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,3,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.8375,0.838339,167.5,167.667826,2,5.321928,-3.321928,1,2.660964,-1.660964,-1.485427,-0.742713,-148.542683,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.003,0,0.01,0,10,0,8925,9933,4989,100,100,?,2,?,?,?
dataset,3,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.002,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,3,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.002,0,0,0,0,0,8506,9933,4989,100,100,?,1,?,?,?
dataset,3,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8508,9933,4989,100,100,?,1,?,?,?
