@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,0,2,0,0,100,0,-0.333333,0.629307,0.716554,132.154467,131.639405,5.325203,1077.157412,-1071.832208,2.662602,538.578706,-535.916104,-0.969282,-0.484641,-79.339107,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,0.5,0.5,1,0,0,0,-0.5,0.25,0.5,0,0,0.001,0,0,0,0,0,20544,16017,8385,50,66.666667,?,?,?,?,?
dataset,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,95.454544,146.313931,2.140779,26.172873,-24.032094,1.070389,13.086436,-12.016047,0.137504,0.068752,10.135375,0.5,1,0,0,0,0,0.5,1,1,0.5,0.666667,0,?,1,0.5,0,0,0.5,1,0.5,0.666667,0,0,1,0.666667,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0,0,0,0,2.325203,0,2.325203,1.162602,0,1.162602,2.325203,1.162602,173.246087,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,188.489608,-186.164405,1.162602,94.244804,-93.082203,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0,0,0,0,2.325203,0,2.325203,1.162602,0,1.162602,2.325203,1.162602,173.246087,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.492428,0.639683,134.882388,153.087089,2.325203,13.167843,-10.84264,1.162602,6.583921,-5.42132,-0.695513,-0.347757,-51.821252,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,50,?,?,?,?,?
dataset,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.335598,0.577364,91.924733,138.173039,2.325203,24.442356,-22.117153,1.162602,12.221178,-11.058576,0.231172,0.115586,17.224146,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0.001124,0.001947,0.307871,0.465898,2.325203,0.004873,2.32033,1.162602,0.002436,1.160165,2.32033,1.160165,172.883019,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,164.077507,-161.752304,1.162602,82.038753,-80.876152,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.25,0.5,0.333333,0.5,0,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0.000789,0.001367,0.216179,0.327142,2.325203,0.00342,2.321783,1.162602,0.00171,1.160892,2.321783,1.160892,172.991279,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
