38, moveNodes(freemind.controller.actions.generated.instance.MoveNodesAction, freemind.controller.actions.generated.instance.MoveNodesAction, freemind.modes.MindMapNode, java.util.List, int), 3.0, 35, 
39, _moveNodes(java.lang.Integer, java.lang.Integer, java.util.Comparator, java.util.List, freemind.modes.MindMapNode, int, freemind.view.mindmapview.NodeView, java.util.TreeSet, java.util.Iterator, java.lang.Integer, freemind.modes.MindMapNode, java.util.Vector, freemind.view.mindmapview.MapView, freemind.modes.MindMapNode, freemind.view.mindmapview.NodeView), 3.0, 35, 
40, moveNodeTo(int, int, freemind.modes.MindMapNode, freemind.modes.MindMapNode, int, int, int, freemind.modes.MindMapNode, freemind.modes.MapAdapter, java.util.Vector), 3.0, 35, 
44, createMoveNodesAction(int, freemind.modes.MindMapNode, java.util.List, java.util.Iterator, freemind.controller.actions.generated.instance.NodeListMember, freemind.controller.actions.generated.instance.MoveNodesAction, freemind.modes.MindMapNode), 3.0, 35, 
62, changeArrowsOfArrowLink(boolean, boolean, freemind.modes.mindmapmode.MindMapArrowLinkModel), 3.0, 59, 
63, getActionPair(boolean, freemind.modes.mindmapmode.MindMapArrowLinkModel, boolean), 3.0, 59, 
66, createArrowLinkArrowXmlAction(boolean, boolean, freemind.modes.mindmapmode.MindMapArrowLinkModel), 3.0, 59, 
67, createArrowLinkArrowXmlAction(freemind.modes.mindmapmode.MindMapArrowLinkModel, java.lang.String, java.lang.String, freemind.controller.actions.generated.instance.ArrowLinkArrowXmlAction), 3.0, 59, 
89, setArrowLinkEndPoints(java.awt.Point, java.awt.Point, freemind.modes.MindMapArrowLink), 3.0, 87, 
90, getActionPair(java.awt.Point, java.awt.Point, freemind.modes.MindMapArrowLink), 3.0, 87, 
94, createArrowLinkPointXmlAction(java.awt.Point, java.awt.Point, freemind.modes.MindMapArrowLink, freemind.controller.actions.generated.instance.ArrowLinkPointXmlAction), 3.0, 87, 
100, addContent(java.lang.String, java.lang.String, boolean, String[], String[], boolean), 4.0, 96, 
110, NodeGeneralAction(freemind.modes.mindmapmode.MindMapController, java.lang.String, java.lang.String), 3.0, 109, 
112, NodeGeneralAction(freemind.modes.mindmapmode.actions.SingleNodeOperation, freemind.modes.mindmapmode.MindMapController, java.lang.String, java.lang.String), 4.0, 109, 
113, NodeGeneralAction(freemind.modes.mindmapmode.actions.NodeActorXml, freemind.modes.mindmapmode.MindMapController, java.lang.String, java.lang.String), 4.0, 109, 
123, UndoAction(freemind.modes.mindmapmode.MindMapController, javax.swing.Icon, freemind.modes.mindmapmode.MindMapController, java.lang.String), 4.0, 121, 
146, edit(boolean, java.awt.event.KeyEvent, boolean), 3.0, 142, 
149, addNew(int, freemind.modes.MindMapNode, java.awt.event.KeyEvent), 3.0, 142, 
150, addNewNode(int, boolean, freemind.modes.MindMapNode), 3.0, 142, 
154, moveNodes(freemind.modes.MindMapNode, int, java.util.List), 3.0, 142, 
177, changeArrowsOfArrowLink(boolean, freemind.modes.mindmapmode.MindMapArrowLinkModel, boolean), 3.0, 142, 
179, setArrowLinkEndPoints(freemind.modes.MindMapArrowLink, java.awt.Point, java.awt.Point), 3.0, 142, 
182, splitNode(freemind.modes.MindMapNode, java.lang.String, int), 3.0, 142, 
185, paste(boolean, java.awt.datatransfer.Transferable, boolean, freemind.modes.MindMapNode), 4.0, 142, 
187, addHook(freemind.modes.MindMapNode, java.util.List, java.lang.String), 3.0, 142, 
188, createNodeHook(java.lang.String, freemind.modes.MindMapNode, freemind.modes.MindMap), 3.0, 142, 
196, setToolTip(java.lang.String, freemind.modes.MindMapNode, java.lang.String), 3.0, 142, 
197, moveNodePosition(int, int, freemind.modes.MindMapNode, int), 4.0, 142, 
201, setAttribute(freemind.modes.attributes.Attribute, freemind.modes.MindMapNode, int), 3.0, 142, 
204, editAttribute(freemind.modes.MindMapNode, java.lang.String, java.lang.String), 3.0, 142, 
221, addNew(freemind.modes.MindMapNode, int, java.awt.event.KeyEvent, freemind.view.mindmapview.NodeView, int, boolean, freemind.modes.MindMapNode, boolean, freemind.modes.MindMapNode, int, freemind.modes.MindMapNode), 3.0, 216, 
223, addNewNode(freemind.controller.actions.generated.instance.DeleteNodeAction, freemind.controller.actions.generated.instance.NewNodeAction, int, freemind.modes.MindMapNode, boolean, java.lang.String), 3.0, 216, 
224, getAddNodeAction(freemind.modes.MindMapNode, int, boolean, java.lang.String, java.lang.String, freemind.controller.actions.generated.instance.NewNodeAction), 4.0, 216, 
241, importFolderStructure(File[], boolean, java.io.File, freemind.modes.MindMapNode, int, freemind.modes.MindMapNode), 3.0, 237, 
242, addNode(java.lang.String, freemind.modes.MindMapNode, java.lang.String, freemind.modes.MindMapNode), 3.0, 237, 
262, paste(boolean, boolean, freemind.modes.MindMapNode, java.awt.datatransfer.Transferable, boolean), 4.0, 255, 
264, _paste(DataFlavorHandler[], boolean, boolean, java.awt.datatransfer.Transferable, freemind.modes.MindMapNode, int, java.awt.datatransfer.DataFlavor, freemind.modes.mindmapmode.MindMapNodeModel, freemind.modes.mindmapmode.actions.PasteAction.DataFlavorHandler, java.util.ListIterator), 4.0, 255, 
267, insertNodeInto(freemind.modes.MindMapNode, freemind.modes.MindMapNode, boolean, boolean, freemind.modes.mindmapmode.MindMapNodeModel, boolean), 5.0, 255, 
268, pasteStringWithoutRedisplay(int, freemind.modes.MindMapNode, boolean, java.awt.datatransfer.Transferable, boolean, freemind.modes.MindMapNode, freemind.modes.MindMapNode, freemind.modes.MindMapNode, java.util.regex.Pattern, int, freemind.modes.MindMapNode, int, String[], java.lang.String, java.util.ArrayList, java.util.ArrayList, freemind.modes.MindMapNode, int, String[], java.lang.String, int, java.lang.String, String[], int, int, java.util.regex.Matcher), 4.0, 255, 
269, insertNodeInto(freemind.modes.mindmapmode.MindMapNodeModel, int, freemind.modes.MindMapNode), 3.0, 255, 
275, NodeCoordinate(boolean, boolean, freemind.modes.MindMapNode), 3.0, 274, 
279, paste(boolean, java.lang.Object, freemind.modes.MindMapNode, java.awt.datatransfer.Transferable, boolean), 5.0, 278, 
282, paste(java.lang.Object, java.awt.datatransfer.Transferable, freemind.modes.MindMapNode, boolean, boolean, java.util.ListIterator, java.io.File, java.util.List, freemind.modes.MindMapNode), 5.0, 281, 
